competition;program;judge;judge_name;judge_nation
ISU Four Continents Championships 2017;MEN SHORT PROGRAM;J5;Ms. Sasha Martinez;MEX
ISU Four Continents Championships 2017;MEN SHORT PROGRAM;J6;Ms. Masako Kubota;JPN
ISU Four Continents Championships 2017;MEN SHORT PROGRAM;J7;Ms. Nicole Leblanc-Richard;CAN
ISU Four Continents Championships 2017;MEN SHORT PROGRAM;J8;Ms. Lisa Jelinek;AUS
ISU Four Continents Championships 2017;MEN SHORT PROGRAM;J9;Ms. Sung-Hee Koh;KOR
ISU Four Continents Championships 2017;MEN FREE SKATING;J1;Ms. Lisa Jelinek;AUS
ISU Four Continents Championships 2017;MEN FREE SKATING;J2;Ms. Lorrie Parker;USA
ISU Four Continents Championships 2017;MEN FREE SKATING;J3;Ms. Jia Yao;CHN
ISU Four Continents Championships 2017;MEN FREE SKATING;J4;Ms. Sasha Martinez;MEX
ISU Four Continents Championships 2017;MEN FREE SKATING;J5;Ms. Sandra Williamson-Leadley;NZL
ISU Four Continents Championships 2017;MEN FREE SKATING;J6;Ms. Nicole Leblanc-Richard;CAN
ISU Four Continents Championships 2017;MEN FREE SKATING;J7;Ms. Ko-Man Ting;TPE
ISU Four Continents Championships 2017;MEN FREE SKATING;J8;Ms. Sung-Hee Koh;KOR
ISU Four Continents Championships 2017;MEN FREE SKATING;J9;Ms. Masako Kubota;JPN
ISU Four Continents Championships 2017;LADIES SHORT PROGRAM;J1;Ms. Saodat Numanova;UZB
ISU Four Continents Championships 2017;LADIES SHORT PROGRAM;J2;Ms. Lynne Dey;CAN
ISU Four Continents Championships 2017;LADIES SHORT PROGRAM;J3;Ms. Dan Fang;CHN
ISU Four Continents Championships 2017;LADIES SHORT PROGRAM;J4;Ms. Lone Villefrance;DEN
ISU Four Continents Championships 2017;LADIES SHORT PROGRAM;J5;Mr. Eddy Wu;TPE
ISU Four Continents Championships 2017;LADIES SHORT PROGRAM;J6;Mr. Peter Rankin;AUS
ISU Four Continents Championships 2017;LADIES SHORT PROGRAM;J7;Ms. Shizuko Ugaki;JPN
ISU Four Continents Championships 2017;LADIES SHORT PROGRAM;J8;Ms. Deveny Deck;USA
ISU Four Continents Championships 2017;LADIES SHORT PROGRAM;J9;Mr. Neil Garrard;RSA
ISU Four Continents Championships 2017;LADIES FREE SKATING;J1;Ms. Lynne Dey;CAN
ISU Four Continents Championships 2017;LADIES FREE SKATING;J2;Mr. Eddy Wu;TPE
ISU Four Continents Championships 2017;LADIES FREE SKATING;J3;Ms. Saodat Numanova;UZB
ISU Four Continents Championships 2017;LADIES FREE SKATING;J4;Mr. Neil Garrard;RSA
ISU Four Continents Championships 2017;LADIES FREE SKATING;J5;Ms. Dan Fang;CHN
ISU Four Continents Championships 2017;LADIES FREE SKATING;J6;Mr. Peter Rankin;AUS
ISU Four Continents Championships 2017;LADIES FREE SKATING;J7;Ms. Lone Villefrance;DEN
ISU Four Continents Championships 2017;LADIES FREE SKATING;J8;Ms. Shizuko Ugaki;JPN
ISU Four Continents Championships 2017;LADIES FREE SKATING;J9;Ms. Deveny Deck;USA
ISU Four Continents Championships 2017;PAIRS SHORT PROGRAM;J1;Ms. Joanna Miller;AUS
ISU Four Continents Championships 2017;PAIRS SHORT PROGRAM;J2;Ms. Na Young Ahn;KOR
ISU Four Continents Championships 2017;PAIRS SHORT PROGRAM;J3;Ms. Ariadna Morones Negrete;MEX
ISU Four Continents Championships 2017;PAIRS SHORT PROGRAM;J4;Ms. Susan Petricevic;NZL
ISU Four Continents Championships 2017;PAIRS SHORT PROGRAM;J5;Ms. Cynthia Benson;CAN
ISU Four Continents Championships 2017;PAIRS SHORT PROGRAM;J6;Ms. Hailan Jiang;CHN
ISU Four Continents Championships 2017;PAIRS SHORT PROGRAM;J7;Ms. Ayumi Kozuka;JPN
ISU Four Continents Championships 2017;PAIRS SHORT PROGRAM;J8;Mr. Yuri Guskov;KAZ
ISU Four Continents Championships 2017;PAIRS SHORT PROGRAM;J9;Ms. Wendy Enzmann;USA
ISU Four Continents Championships 2017;PAIRS FREE SKATING;J1;Ms. Wendy Enzmann;USA
ISU Four Continents Championships 2017;PAIRS FREE SKATING;J2;Ms. Joanna Miller;AUS
ISU Four Continents Championships 2017;PAIRS FREE SKATING;J3;Mr. Yuri Guskov;KAZ
ISU Four Continents Championships 2017;PAIRS FREE SKATING;J4;Ms. Susan Petricevic;NZL
ISU Four Continents Championships 2017;PAIRS FREE SKATING;J5;Ms. Ayumi Kozuka;JPN
ISU Four Continents Championships 2017;PAIRS FREE SKATING;J6;Ms. Na Young Ahn;KOR
ISU Four Continents Championships 2017;PAIRS FREE SKATING;J7;Ms. Hailan Jiang;CHN
ISU Four Continents Championships 2017;PAIRS FREE SKATING;J8;Ms. Ariadna Morones Negrete;MEX
ISU Four Continents Championships 2017;PAIRS FREE SKATING;J9;Ms. Cynthia Benson;CAN
ISU Four Continents Championships 2017;ICE DANCE SHORT DANCE;J1;Ms. Tianyi Zhang;CHN
ISU Four Continents Championships 2017;ICE DANCE SHORT DANCE;J2;Ms. Marta Olozagarre;ESP
ISU Four Continents Championships 2017;ICE DANCE SHORT DANCE;J3;Ms. Mayumi Kato;JPN
ISU Four Continents Championships 2017;ICE DANCE SHORT DANCE;J4;Mr. Mark Storton;AUS
ISU Four Continents Championships 2017;ICE DANCE SHORT DANCE;J5;Mr. Andre-Marc Allain;CAN
ISU Four Continents Championships 2017;ICE DANCE SHORT DANCE;J6;Mr. Miroslav Misurec;CZE
ISU Four Continents Championships 2017;ICE DANCE SHORT DANCE;J7;Ms. Maira Abasova;RUS
ISU Four Continents Championships 2017;ICE DANCE SHORT DANCE;J8;Ms. Sharon Rogers;USA
ISU Four Continents Championships 2017;ICE DANCE SHORT DANCE;J9;Ms. Raia Bisserova-Bakalova;BUL
ISU Four Continents Championships 2017;ICE DANCE FREE DANCE;J1;Ms. Marta Olozagarre;ESP
ISU Four Continents Championships 2017;ICE DANCE FREE DANCE;J2;Mr. Mark Storton;AUS
ISU Four Continents Championships 2017;ICE DANCE FREE DANCE;J3;Mr. Andre-Marc Allain;CAN
ISU Four Continents Championships 2017;ICE DANCE FREE DANCE;J4;Ms. Mayumi Kato;JPN
ISU Four Continents Championships 2017;ICE DANCE FREE DANCE;J5;Ms. Raia Bisserova-Bakalova;BUL
ISU Four Continents Championships 2017;ICE DANCE FREE DANCE;J6;Ms. Sharon Rogers;USA
ISU Four Continents Championships 2017;ICE DANCE FREE DANCE;J7;Ms. Tianyi Zhang;CHN
ISU Four Continents Championships 2017;ICE DANCE FREE DANCE;J8;Mr. Miroslav Misurec;CZE
ISU Four Continents Championships 2017;ICE DANCE FREE DANCE;J9;Ms. Maira Abasova;RUS
ISU GP Trophee de France 2016;MEN SHORT PROGRAM;J1;Ms. Elisabeth Louesdon;FRA
ISU GP Trophee de France 2016;MEN SHORT PROGRAM;J2;Mr. Massimo Orlandini;ITA
ISU GP Trophee de France 2016;MEN SHORT PROGRAM;J3;Ms. Masako Kubota;JPN
ISU GP Trophee de France 2016;MEN SHORT PROGRAM;J4;Mr. Steve Winkler;USA
ISU GP Trophee de France 2016;MEN SHORT PROGRAM;J5;Ms. Olga Kozhemiakina;RUS
ISU GP Trophee de France 2016;MEN SHORT PROGRAM;J6;Ms. Saodat Numanova;UZB
ISU GP Trophee de France 2016;MEN SHORT PROGRAM;J7;Mr. Yuri Guskov;KAZ
ISU GP Trophee de France 2016;MEN SHORT PROGRAM;J8;Ms. Francoise De Rappard;BEL
ISU GP Trophee de France 2016;MEN SHORT PROGRAM;J9;Mr. Daniel Delfa;ESP
ISU GP Trophee de France 2016;MEN FREE SKATING;J1;Ms. Francoise De Rappard;BEL
ISU GP Trophee de France 2016;MEN FREE SKATING;J2;Ms. Masako Kubota;JPN
ISU GP Trophee de France 2016;MEN FREE SKATING;J3;Mr. Yuri Guskov;KAZ
ISU GP Trophee de France 2016;MEN FREE SKATING;J4;Ms. Saodat Numanova;UZB
ISU GP Trophee de France 2016;MEN FREE SKATING;J5;Ms. Elisabeth Louesdon;FRA
ISU GP Trophee de France 2016;MEN FREE SKATING;J6;Mr. Daniel Delfa;ESP
ISU GP Trophee de France 2016;MEN FREE SKATING;J7;Mr. Massimo Orlandini;ITA
ISU GP Trophee de France 2016;MEN FREE SKATING;J8;Ms. Olga Kozhemiakina;RUS
ISU GP Trophee de France 2016;MEN FREE SKATING;J9;Mr. Steve Winkler;USA
ISU GP Trophee de France 2016;LADIES SHORT PROGRAM;J1;Ms. Veronique Verrue;FRA
ISU GP Trophee de France 2016;LADIES SHORT PROGRAM;J2;Ms. Christiane Mörth;AUT
ISU GP Trophee de France 2016;LADIES SHORT PROGRAM;J3;Ms. Lolita Labunskaiya;RUS
ISU GP Trophee de France 2016;LADIES SHORT PROGRAM;J4;Mr. Steve Winkler;USA
ISU GP Trophee de France 2016;LADIES SHORT PROGRAM;J5;Ms. So Young An;KOR
ISU GP Trophee de France 2016;LADIES SHORT PROGRAM;J6;Ms. Jodi Abbott;CAN
ISU GP Trophee de France 2016;LADIES SHORT PROGRAM;J7;Ms. Masako Kubota;JPN
ISU GP Trophee de France 2016;LADIES SHORT PROGRAM;J8;Ms. Dagmar Lurz-Prott;GER
ISU GP Trophee de France 2016;LADIES SHORT PROGRAM;J9;Mr. Richard Kosina;CZE
ISU GP Trophee de France 2016;LADIES FREE SKATING;J1;Ms. Dagmar Lurz-Prott;GER
ISU GP Trophee de France 2016;LADIES FREE SKATING;J2;Ms. Christiane Mörth;AUT
ISU GP Trophee de France 2016;LADIES FREE SKATING;J3;Ms. So Young An;KOR
ISU GP Trophee de France 2016;LADIES FREE SKATING;J4;Ms. Masako Kubota;JPN
ISU GP Trophee de France 2016;LADIES FREE SKATING;J5;Ms. Veronique Verrue;FRA
ISU GP Trophee de France 2016;LADIES FREE SKATING;J6;Ms. Lolita Labunskaiya;RUS
ISU GP Trophee de France 2016;LADIES FREE SKATING;J7;Ms. Jodi Abbott;CAN
ISU GP Trophee de France 2016;LADIES FREE SKATING;J8;Mr. Steve Winkler;USA
ISU GP Trophee de France 2016;LADIES FREE SKATING;J9;Mr. Richard Kosina;CZE
ISU GP Trophee de France 2016;PAIRS SHORT PROGRAM;J1;Ms. Helene Cucuphat;FRA
ISU GP Trophee de France 2016;PAIRS SHORT PROGRAM;J2;Mr. Daniel Delfa;ESP
ISU GP Trophee de France 2016;PAIRS SHORT PROGRAM;J3;Ms. Olga Kozhemiakina;RUS
ISU GP Trophee de France 2016;PAIRS SHORT PROGRAM;J4;Ms. So Young An;KOR
ISU GP Trophee de France 2016;PAIRS SHORT PROGRAM;J5;Ms. Sissy Krick;GER
ISU GP Trophee de France 2016;PAIRS SHORT PROGRAM;J6;Mr. Steve Winkler;USA
ISU GP Trophee de France 2016;PAIRS SHORT PROGRAM;J7;Ms. Christiane Mörth;AUT
ISU GP Trophee de France 2016;PAIRS SHORT PROGRAM;J8;Ms. Saodat Numanova;UZB
ISU GP Trophee de France 2016;PAIRS SHORT PROGRAM;J9;Mr. Massimo Orlandini;ITA
ISU GP Trophee de France 2016;PAIRS FREE SKATING;J1;Ms. So Young An;KOR
ISU GP Trophee de France 2016;PAIRS FREE SKATING;J2;Ms. Christiane Mörth;AUT
ISU GP Trophee de France 2016;PAIRS FREE SKATING;J3;Ms. Saodat Numanova;UZB
ISU GP Trophee de France 2016;PAIRS FREE SKATING;J4;Ms. Helene Cucuphat;FRA
ISU GP Trophee de France 2016;PAIRS FREE SKATING;J5;Mr. Daniel Delfa;ESP
ISU GP Trophee de France 2016;PAIRS FREE SKATING;J6;Ms. Olga Kozhemiakina;RUS
ISU GP Trophee de France 2016;PAIRS FREE SKATING;J7;Mr. Massimo Orlandini;ITA
ISU GP Trophee de France 2016;PAIRS FREE SKATING;J8;Mr. Steve Winkler;USA
ISU GP Trophee de France 2016;PAIRS FREE SKATING;J9;Ms. Sissy Krick;GER
ISU GP Trophee de France 2016;ICE DANCE SHORT DANCE;J1;Mr. Alexandre Gorojdanov;BLR
ISU GP Trophee de France 2016;ICE DANCE SHORT DANCE;J2;Ms. Lolita Labunskaiya;RUS
ISU GP Trophee de France 2016;ICE DANCE SHORT DANCE;J3;Mr. John Millier;USA
